ISSN,Título,Estrato,quadrienio
0263-8223,COMPOSITE STRUCTURES,A1,2021-2024
0263-8762,CHEMICAL ENGINEERING RESEARCH & DESIGN,A1,2021-2024
0264-410X,VACCINE (GUILDFORD),A1,2021-2024
0264-4401,ENGINEERING COMPUTATIONS,A3,2021-2024
0264-8172,MARINE AND PETROLEUM GEOLOGY,A1,2021-2024
0265-2323,INTERNATIONAL JOURNAL OF BANK MARKETING,A1,2021-2024
0265-671X,INTERNATIONAL JOURNAL OF QUALITY AND RELIABILITY MANAGEMENT,A3,2021-2024
0266-4720,EXPERT SYSTEMS (PRINT),A2,2021-2024
0266-4763,JOURNAL OF APPLIED STATISTICS,A3,2021-2024
0267-3649,COMPUTER LAW AND SECURITY REPORT,A1,2021-2024
0267-4424,FINANCIAL ACCOUNTABILITY & MANAGEMENT (PRINT),A1,2021-2024
0267-5730,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,A2,2021-2024
0268-3768,"INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY",A2,2021-2024
0268-4012,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,A1,2021-2024
0269-2821,ARTIFICIAL INTELLIGENCE REVIEW,A1,2021-2024
0269-283X,MEDICAL AND VETERINARY ENTOMOLOGY (PRINT),A2,2021-2024
0269-4042,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,A1,2021-2024
0269-5022,PAEDIATRIC AND PERINATAL EPIDEMIOLOGY (PRINT),A4,2021-2024
0269-7491,ENVIRONMENTAL POLLUTION (1987),A1,2021-2024
0269-8889,KNOWLEDGE ENGINEERING REVIEW (PRINT),A3,2021-2024
0270-1367,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,A2,2021-2024
0270-4137,THE PROSTATE (PRINT),A2,2021-2024
0270-6474,THE JOURNAL OF NEUROSCIENCE,A1,2021-2024
0271-3683,CURRENT EYE RESEARCH (PRINT),A2,2021-2024
0271-5317,"NUTRITION RESEARCH (NEW YORK, N.Y.)",A1,2021-2024
0272-1716,IEEE COMPUTER GRAPHICS AND APPLICATIONS,A4,2021-2024
0272-1732,IEEE MICRO,A2,2021-2024
0272-4960,IMA JOURNAL OF APPLIED MATHEMATICS,A3,2021-2024
0272-4979,IMA JOURNAL OF NUMERICAL ANALYSIS,A1,2021-2024
0272-8842,CERAMICS INTERNATIONAL,A1,2021-2024
0273-1177,ADVANCES IN SPACE RESEARCH,A2,2021-2024
0276-2374,EMPIRICAL STUDIES OF THE ARTS (PRINT),B1,2021-2024
0277-6715,STATISTICS IN MEDICINE (PRINT),A1,2021-2024
0278-0046,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS (1982. PRINT),A1,2021-2024
0278-0070,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,A2,2021-2024
0278-081X,"CIRCUITS, SYSTEMS, AND SIGNAL PROCESSING",A3,2021-2024
0278-3649,THE INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,A1,2021-2024
0278-6125,JOURNAL OF MANUFACTURING SYSTEMS,A1,2021-2024
0288-3635,NEW GENERATION COMPUTING,A2,2021-2024
0295-5075,EUROPHYSICS LETTERS (PRINT),A4,2021-2024
0300-3930,LOCAL GOVERNMENT STUDIES,A1,2021-2024
0300-5771,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,A1,2021-2024
0300-7995,CURRENT MEDICAL RESEARCH AND OPINION,A2,2021-2024
0300-9084,BIOCHIMIE (PARIS. PRINT),A3,2021-2024
0300-9564,JOURNAL OF NEURAL TRANSMISSION,A2,2021-2024
0301-2115,"EUROPEAN JOURNAL OF OBSTETRICS, GYNECOLOGY, AND REPRODUCTIVE BIOLOGY",A3,2021-2024
0301-4797,JOURNAL OF ENVIRONMENTAL MANAGEMENT,A1,2021-2024
0301-5629,ULTRASOUND IN MEDICINE & BIOLOGY,A2,2021-2024
0301-679X,TRIBOLOGY INTERNATIONAL,A1,2021-2024
0303-2434,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,A1,2021-2024
0303-2647,BIOSYSTEMS (AMSTERDAM. PRINT),A2,2021-2024
0303-6898,SCANDINAVIAN JOURNAL OF STATISTICS,A3,2021-2024
0303-6979,JOURNAL OF CLINICAL PERIODONTOLOGY,A1,2021-2024
0303-7207,MOLECULAR AND CELLULAR ENDOCRINOLOGY (PRINT),A2,2021-2024
0303-8300,SOCIAL INDICATORS RESEARCH,A1,2021-2024
0304-3800,ECOLOGICAL MODELLING,A2,2021-2024
0304-3975,THEORETICAL COMPUTER SCIENCE,B1,2021-2024
0304-4017,VETERINARY PARASITOLOGY (PRINT),A1,2021-2024
0304-4149,STOCHASTIC PROCESSES AND THEIR APPLICATIONS,A2,2021-2024
0304-4238,SCIENTIA HORTICULTURAE,A1,2021-2024
0304-8853,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,A3,2021-2024
0305-0270,JOURNAL OF BIOGEOGRAPHY (PRINT),A1,2021-2024
0305-0483,OMEGA (OXFORD),A1,2021-2024
0305-0548,COMPUTERS & OPERATIONS RESEARCH,A1,2021-2024
0305-1048,NUCLEIC ACIDS RESEARCH,A1,2021-2024
0305-215X,ENGINEERING OPTIMIZATION (PRINT),A1,2021-2024
0306-2619,APPLIED ENERGY,A1,2021-2024
0306-4379,INFORMATION SYSTEMS,A2,2021-2024
0306-4522,NEUROSCIENCE,A2,2021-2024
0306-4565,JOURNAL OF THERMAL BIOLOGY,A1,2021-2024
0306-4573,INFORMATION PROCESSING & MANAGEMENT,A1,2021-2024
0306-7734,INTERNATIONAL STATISTICAL REVIEW,A2,2021-2024
0307-904X,APPLIED MATHEMATICAL MODELLING,A1,2021-2024
0308-1079,INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,A3,2021-2024
0308-1087,LINEAR AND MULTILINEAR ALGEBRA,A1,2021-2024
0308-2105,PROCEEDINGS. SECTION A. MATHEMATICS,A2,2021-2024
0308-521X,AGRICULTURAL SYSTEMS,A1,2021-2024
0308-597X,MARINE POLICY,A1,2021-2024
0308-8146,FOOD CHEMISTRY,A1,2021-2024
0309-1740,MEAT SCIENCE,A1,2021-2024
0315-5986,INFOR. INFORMATION SYSTEMS AND OPERATIONAL RESEARCH,B1,2021-2024
0341-8162,CATENA (CREMLINGEN),A1,2021-2024
0343-2521,GEOJOURNAL,A2,2021-2024
0346-251X,SYSTEM (LINKOPING),A1,2021-2024
0360-0300,ACM COMPUTING SURVEYS,A1,2021-2024
0360-1277,EDUCATIONAL GERONTOLOGY,A4,2021-2024
0360-1315,COMPUTERS & EDUCATION,A1,2021-2024
0360-5442,ENERGY (OXFORD),A1,2021-2024
0360-8352,COMPUTERS & INDUSTRIAL ENGINEERING,A1,2021-2024
0361-0918,COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION,A4,2021-2024
0361-1981,TRANSPORTATION RESEARCH RECORD,A4,2021-2024
0363-907X,INTERNATIONAL JOURNAL OF ENERGY RESEARCH (PRINT),C,2021-2024
0364-765X,MATHEMATICS OF OPERATIONS RESEARCH,A1,2021-2024
0364-9024,JOURNAL OF GRAPH THEORY (PRINT),A3,2021-2024
0367-326X,FITOTERAPIA (MILANO),A4,2021-2024
0370-1573,PHYSICS REPORTS,A1,2021-2024
0377-0257,JOURNAL OF NON-NEWTONIAN FLUID MECHANICS (PRINT),A2,2021-2024
0377-0427,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,A2,2021-2024
0377-0486,JOURNAL OF RAMAN SPECTROSCOPY,A3,2021-2024
0377-2063,JOURNAL OF THE INSTITUTION OF ELECTRONICS AND TELECOMMUNICATION ENGINEERS,A4,2021-2024
0377-2217,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1,2021-2024
0378-1119,GENE (AMSTERDAM),A4,2021-2024
0378-3774,AGRICULTURAL WATER MANAGEMENT (PRINT),A1,2021-2024
0378-4290,FIELD CROPS RESEARCH,A1,2021-2024
0378-4320,ANIMAL REPRODUCTION SCIENCE (PRINT),A2,2021-2024
0378-4371,PHYSICA. A (PRINT),A2,2021-2024
0378-4754,MATHEMATICS AND COMPUTERS IN SIMULATION (PRINT),A1,2021-2024
0378-7788,ENERGY AND BUILDINGS,A1,2021-2024
0378-7796,ELECTRIC POWER SYSTEMS RESEARCH (PRINT),A3,2021-2024
0385-7417,BEHAVIORMETRIKA,A1,2021-2024
0391-173X,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI SCIENZE (TESTO STAMPATO),A1,2021-2024
0393-2990,EUROPEAN JOURNAL OF EPIDEMIOLOGY,A1,2021-2024
0531-5565,EXPERIMENTAL GERONTOLOGY,A3,2021-2024
0560-4613,REVISTA BRASILEIRA DE CARTOGRAFIA (IMPRESSO),B2,2021-2024
0703-8992,CANADIAN JOURNAL OF REMOTE SENSING,A2,2021-2024
0716-3711,INGENIERÍA. UNIVERSIDAD DE ATACAMA,B4,2021-2024
0717-5000,CLEI ELECTRONIC JOURNAL,B3,2021-2024
0717-6279,PROYECCIONES JOURNAL OF MATHEMATICS,B1,2021-2024
0718-221X,MADERAS. CIENCIA Y TECNOLOGÍA (EN LÍNEA),A3,2021-2024
0718-2724,JOURNAL OF TECHNOLOGY MANAGEMENT & INNOVATION,A4,2021-2024
0718-378X,REVISTA AIDIS DE INGENIERÍA Y CIENCIAS AMBIENTALES,B3,2021-2024
0718-5162,REXE REVISTA DE ESTUDIOS Y EXPERIENCIAS EN EDUCACIÓN,A1,2021-2024
0719-0646,"CUBO, A MATHEMATICAL JOURNAL",B1,2021-2024
0720-048X,EUROPEAN JOURNAL OF RADIOLOGY,A2,2021-2024
0730-0301,ACM TRANSACTIONS ON GRAPHICS,A1,2021-2024
0730-725X,MAGNETIC RESONANCE IMAGING,A3,2021-2024
0733-8716,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (PRINT),A1,2021-2024
0733-8724,JOURNAL OF LIGHTWAVE TECHNOLOGY (PRINT),A1,2021-2024
0733-9429,"JOURNAL OF HYDRAULIC ENGINEERING (NEW YORK, N. Y.)",A3,2021-2024
0733-9453,JOURNAL OF SURVEYING ENGINEERING,A4,2021-2024
0734-2071,ACM TRANSACTIONS ON COMPUTER SYSTEMS,A3,2021-2024
0735-6757,THE AMERICAN JOURNAL OF EMERGENCY MEDICINE (PRINT),A1,2021-2024
0736-5853,TELEMATICS AND INFORMATICS,A1,2021-2024
0737-8831,LIBRARY HI TECH,A1,2021-2024
0739-1102,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,A2,2021-2024
0740-624X,GOVERNMENT INFORMATION QUARTERLY,A1,2021-2024
0740-7459,IEEE SOFTWARE,A3,2021-2024
0740-8188,LIBRARY & INFORMATION SCIENCE RESEARCH,A2,2021-2024
0743-7315,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING (PRINT),A1,2021-2024
0747-5632,COMPUTERS IN HUMAN BEHAVIOR,A1,2021-2024
0748-8157,FRONTIERS OF HEALTH SERVICES MANAGEMENT,B1,2021-2024
0749-159X,NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS (PRINT),A2,2021-2024
0749-3797,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,A1,2021-2024
0804-4643,EUROPEAN JOURNAL OF ENDOCRINOLOGY,A2,2021-2024
0812-0099,AUSTRALIAN JOURNAL OF EARTH SCIENCES,A4,2021-2024
0824-7935,COMPUTATIONAL INTELLIGENCE,A1,2021-2024
0840-8688,CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,A4,2021-2024
0873-1152,ENGENHARIA CIVIL UM (BRAGA),B3,2021-2024
0873-5670,PÁGINAS A & B. ARQUIVOS & BIBLIOTECAS,A3,2021-2024
0883-2323,JOURNAL OF EDUCATION FOR BUSINESS,A3,2021-2024
0883-9514,APPLIED ARTIFICIAL INTELLIGENCE,A3,2021-2024
0884-6812,ANALYTICAL AND QUANTITATIVE CYTOLOGY AND HISTOLOGY,B3,2021-2024
0884-8173,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS (PRINT),C,2021-2024
0885-2308,COMPUTER SPEECH & LANGUAGE (PRINT),A1,2021-2024
0885-2545,JOURNAL OF CULTURAL ECONOMICS,A3,2021-2024
0885-4513,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,A3,2021-2024
0885-6125,MACHINE LEARNING,A1,2021-2024
0885-7458,INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,A3,2021-2024
0885-7474,JOURNAL OF SCIENTIFIC COMPUTING,A1,2021-2024
0885-8624,THE JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,A1,2021-2024
0885-8950,IEEE TRANSACTIONS ON POWER SYSTEMS,A1,2021-2024
0885-8977,IEEE TRANSACTIONS ON POWER DELIVERY,A2,2021-2024
0885-8985,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,A1,2021-2024
0885-8993,IEEE TRANSACTIONS ON POWER ELECTRONICS,A1,2021-2024
0886-3350,JOURNAL OF CATARACT & REFRACTIVE SURGERY,A1,2021-2024
0887-3585,PROTEINS (PRINT),A3,2021-2024
0887-3828,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,A3,2021-2024
0888-3270,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,A1,2021-2024
0888-613X,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,A1,2021-2024
0888-7543,"GENOMICS (SAN DIEGO, CALIF.)",A2,2021-2024
0889-1575,JOURNAL OF FOOD COMPOSITION AND ANALYSIS (PRINT),A2,2021-2024
0890-5401,INFORMATION AND COMPUTATION (PRINT),B1,2021-2024
0890-8044,IEEE NETWORK,A1,2021-2024
0891-2556,CARBONATES AND EVAPORITES,B1,2021-2024
0892-1997,JOURNAL OF VOICE,A1,2021-2024
0893-6080,NEURAL NETWORKS,A1,2021-2024
0895-4801,SIAM JOURNAL ON DISCRETE MATHEMATICS (PRINT),A2,2021-2024
0895-6111,COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,A1,2021-2024
0895-8696,JOURNAL OF MOLECULAR NEUROSCIENCE,A4,2021-2024
0895-9811,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,A2,2021-2024
0896-0267,BRAIN TOPOGRAPHY,A3,2021-2024
0896-6273,"NEURON (CAMBRIDGE, MASS.)",A1,2021-2024
0897-1889,JOURNAL OF DIGITAL IMAGING,A2,2021-2024
0898-1221,COMPUTERS & MATHEMATICS WITH APPLICATIONS (1987),A1,2021-2024
0903-1936,THE EUROPEAN RESPIRATORY JOURNAL,A1,2021-2024
0904-2512,JOURNAL OF ORAL PATHOLOGY & MEDICINE,A1,2021-2024
0911-0119,GRAPHS AND COMBINATORICS,B1,2021-2024
0916-8508,"IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS, COMMUNICATIONS AND COMPUTER SCIENCE",B3,2021-2024
0918-8959,ENDOCRINE JOURNAL (TOKYO),B1,2021-2024
0920-4105,JOURNAL OF PETROLEUM SCIENCE & ENGINEERING,A1,2021-2024
0920-5489,COMPUTER STANDARDS & INTERFACES,A1,2021-2024
0920-5691,INTERNATIONAL JOURNAL OF COMPUTER VISION,A1,2021-2024
0920-654X,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,A2,2021-2024
0920-8542,JOURNAL OF SUPERCOMPUTING,A2,2021-2024
0920-9964,SCHIZOPHRENIA RESEARCH (PRINT),A2,2021-2024
0921-0296,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,A2,2021-2024
0921-4488,SMALL RUMINANT RESEARCH,A2,2021-2024
0921-7126,AI COMMUNICATIONS,B2,2021-2024
0921-8890,ROBOTICS AND AUTONOMOUS SYSTEMS (PRINT),A1,2021-2024
0922-6443,REAL-TIME SYSTEMS,A4,2021-2024
0922-6567,MACHINE TRANSLATION,B1,2021-2024
0923-2508,RESEARCH IN MICROBIOLOGY (PARIS),B1,2021-2024
0923-5965,SIGNAL PROCESSING. IMAGE COMMUNICATION,A2,2021-2024
0923-8174,JOURNAL OF ELECTRONIC TESTING,B2,2021-2024
0924-090X,NONLINEAR DYNAMICS,A1,2021-2024
0924-1868,USER MODELING AND USER-ADAPTED INTERACTION,A1,2021-2024
0924-2716,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,A1,2021-2024
0924-669X,APPLIED INTELLIGENCE (BOSTON),A3,2021-2024
0924-8463,ARTIFICIAL INTELLIGENCE AND LAW,A1,2021-2024
0924-9338,EUROPEAN PSYCHIATRY (PARIS),A1,2021-2024
0924-977X,EUROPEAN NEUROPSYCHOPHARMACOLOGY,A1,2021-2024
0924-9907,JOURNAL OF MATHEMATICAL IMAGING AND VISION,A1,2021-2024
0925-1022,"DESIGNS, CODES AND CRYPTOGRAPHY",A1,2021-2024
0925-1030,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,A4,2021-2024
0925-2312,NEUROCOMPUTING (AMSTERDAM),A1,2021-2024
0925-4005,"SENSORS AND ACTUATORS. B, CHEMICAL",A1,2021-2024
0925-4439,BIOCHIMICA ET BIOPHYSICA ACTA. MOLECULAR BASIS OF DISEASE,A1,2021-2024
0925-5001,JOURNAL OF GLOBAL OPTIMIZATION,A2,2021-2024
0925-7535,SAFETY SCIENCE,A1,2021-2024
0925-7721,COMPUTATIONAL GEOMETRY,A4,2021-2024
0925-8531,"JOURNAL OF LOGIC, LANGUAGE AND INFORMATION",A1,2021-2024
0925-9724,COMPUTER SUPPORTED COOPERATIVE WORK,A2,2021-2024
0925-9902,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,A2,2021-2024
0926-227X,JOURNAL OF COMPUTER SECURITY,B1,2021-2024
0926-2644,GROUP DECISION AND NEGOTIATION,A1,2021-2024
0926-6003,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,A2,2021-2024
0926-6690,INDUSTRIAL CROPS AND PRODUCTS (PRINT),A1,2021-2024
0926-8782,DISTRIBUTED AND PARALLEL DATABASES,A4,2021-2024
0926-9630,STUDIES IN HEALTH TECHNOLOGY AND INFORMATICS,B2,2021-2024
0926-9851,JOURNAL OF APPLIED GEOPHYSICS,A2,2021-2024
0927-0248,SOLAR ENERGY MATERIALS AND SOLAR CELLS,A1,2021-2024
0927-0256,COMPUTATIONAL MATERIALS SCIENCE,A1,2021-2024
0927-7099,COMPUTATIONAL ECONOMICS,A2,2021-2024
0928-1541,IAWA JOURNAL,A3,2021-2024
0928-8910,AUTOMATED SOFTWARE ENGINEERING,A4,2021-2024
0929-5585,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,B2,2021-2024
0929-5593,AUTONOMOUS ROBOTS,A2,2021-2024
0929-6212,WIRELESS PERSONAL COMMUNICATIONS,A4,2021-2024
0929-8215,JOURNAL OF NEW MUSIC RESEARCH,A1,2021-2024
0931-1890,TREES (BERLIN. PRINT),A2,2021-2024
0931-2668,JOURNAL OF ANIMAL BREEDING AND GENETICS (1986),A1,2021-2024
0932-8092,MACHINE VISION AND APPLICATIONS,A3,2021-2024
0933-3657,ARTIFICIAL INTELLIGENCE IN MEDICINE (PRINT),A1,2021-2024
0933-5846,ARCHIVE FOR MATHEMATICAL LOGIC (PRINT),A3,2021-2024
0934-5043,FORMAL ASPECTS OF COMPUTING,A4,2021-2024
0934-9723,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES (PRINT),A1,2021-2024
0935-1175,CONTINUUM MECHANICS AND THERMODYNAMICS (PRINT),A3,2021-2024
0937-9827,INTERNATIONAL JOURNAL OF LEGAL MEDICINE (PRINT),A2,2021-2024
0938-8974,JOURNAL OF NONLINEAR SCIENCE,A1,2021-2024
0940-1334,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,A1,2021-2024
0941-0643,NEURAL COMPUTING & APPLICATIONS (PRINT),A1,2021-2024
0941-4355,SUPPORTIVE CARE IN CANCER,A2,2021-2024
0942-4962,MULTIMEDIA SYSTEMS,A2,2021-2024
0943-4062,COMPUTATIONAL STATISTICS (ZEITSCHRIFT),A3,2021-2024
0943-7444,KNOWLEDGE ORGANIZATION,A2,2021-2024
0944-1344,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL,A2,2021-2024
0944-6532,JOURNAL OF CONVEX ANALYSIS,A4,2021-2024
0947-3580,EUROPEAN JOURNAL OF CONTROL,A2,2021-2024
0947-3602,REQUIREMENTS ENGINEERING (LONDON. PRINT),A2,2021-2024
0948-5023,JOURNAL OF MOLECULAR MODELING (ONLINE),A3,2021-2024
0948-695X,JOURNAL OF UNIVERSAL COMPUTER SCIENCE (PRINT),B1,2021-2024
0948-6968,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,B1,2021-2024
0950-0618,CONSTRUCTION & BUILDING MATERIALS,A1,2021-2024
0950-2688,EPIDEMIOLOGY AND INFECTION (PRINT),A4,2021-2024
0950-3293,FOOD QUALITY AND PREFERENCE,A1,2021-2024
0950-4222,INDUSTRY & HIGHER EDUCATION,A2,2021-2024
0950-5849,INFORMATION AND SOFTWARE TECHNOLOGY,A2,2021-2024
0950-7051,KNOWLEDGE-BASED SYSTEMS,A1,2021-2024
0951-192X,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING (PRINT),A1,2021-2024
0951-5666,AI & SOCIETY,A1,2021-2024
0951-7715,NONLINEARITY (BRISTOL. PRINT),A1,2021-2024
0951-8320,RELIABILITY ENGINEERING & SYSTEMS SAFETY,A1,2021-2024
0952-1976,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,A1,2021-2024
0952-4622,BIOACOUSTICS (BERKHAMSTED),A3,2021-2024
0952-8091,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,A4,2021-2024
0953-5438,INTERACTING WITH COMPUTERS,A3,2021-2024
0953-7325,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,A1,2021-2024
0954-0091,CONNECTION SCIENCE (PRINT),A3,2021-2024
0954-0962,PUBLIC MONEY & MANAGEMENT,A1,2021-2024
0954-1748,JOURNAL OF INTERNATIONAL DEVELOPMENT,A2,2021-2024
0954-349X,STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,A1,2021-2024
0955-792X,JOURNAL OF LOGIC AND COMPUTATION (PRINT),A2,2021-2024
0955-7997,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,A1,2021-2024
0956-5507,CYTOPATHOLOGY (OXFORD. PRINT),B1,2021-2024
0956-5663,BIOSENSORS & BIOELECTRONICS,A1,2021-2024
0956-7135,FOOD CONTROL,A1,2021-2024
0957-0233,MEASUREMENT SCIENCE & TECHNOLOGY (PRINT),A2,2021-2024
0957-4158,MECHATRONICS (OXFORD),A2,2021-2024
0957-4174,EXPERT SYSTEMS WITH APPLICATIONS,A1,2021-2024
0957-5243,CCC. CANCER CAUSES & CONTROL,A4,2021-2024
0959-1524,JOURNAL OF PROCESS CONTROL,A1,2021-2024
0959-3993,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,A2,2021-2024
0959-6518,"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS. PART I, JOURNAL OF SYSTEMS AND CONTROL ENGINEERING",A4,2021-2024
0959-6526,JOURNAL OF CLEANER PRODUCTION,A2,2021-2024
0960-0779,"CHAOS, SOLITONS AND FRACTALS",A1,2021-2024
0960-0833,"SOFTWARE TESTING, VERIFICATION & RELIABILITY",A4,2021-2024
0960-1295,MSCS. MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE (PRINT),A4,2021-2024
0960-1481,RENEWABLE ENERGY,A1,2021-2024
0960-3085,FOOD AND BIOPRODUCTS PROCESSING,A1,2021-2024
0960-3174,STATISTICS AND COMPUTING,A2,2021-2024
0960-7692,ULTRASOUND IN OBSTETRICS & GYNECOLOGY (PRINT),A1,2021-2024
0960-8524,BIORESOURCE TECHNOLOGY,A1,2021-2024
0960-8923,OBESITY SURGERY,A1,2021-2024
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,A2,2021-2024
0962-8444,PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON. MATHEMATICAL AND PHYSICAL SCIENCES,A1,2021-2024
0963-8695,NDT & E INTERNATIONAL,A1,2021-2024
0963-9314,SOFTWARE QUALITY JOURNAL,A3,2021-2024
0963-9969,FOOD RESEARCH INTERNATIONAL,A1,2021-2024
0964-7775,MUSEUM MANAGEMENT AND CURATORSHIP (1990),A1,2021-2024
0965-0911,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS. STRUCTURES AND BUILDINGS,A4,2021-2024
0965-9978,ADVANCES IN ENGINEERING SOFTWARE,A1,2021-2024
0966-3274,TRANSPLANT IMMUNOLOGY,B1,2021-2024
0966-9760,INTERNATIONAL JOURNAL OF EARLY YEARS EDUCATION,A4,2021-2024
0967-070X,TRANSPORT POLICY (OXFORD),A1,2021-2024
0967-0769,INTERNATIONAL JOURNAL OF LAW AND INFORMATION TECHNOLOGY,A1,2021-2024
0969-9988,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT (PRINT),A1,2021-2024
0972-0707,JOURNAL OF CONSERVATIVE DENTISTRY,B1,2021-2024
0972-6802,JOURNAL OF FUNCTION SPACES,C,2021-2024
0972-7272,JOURNAL OF DIGITAL INFORMATION MANAGEMENT,B3,2021-2024
0972-7981,JOURNAL OF ADVANCES IN MANAGEMENT RESEARCH,A2,2021-2024
0974-0635,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE,A4,2021-2024
0975-4660,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,C,2021-2024
0975-5861,GLOBAL JOURNAL OF RESEARCHES IN ENGINEERING,B4,2021-2024
0975-8887,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS,C,2021-2024
0975-9018,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING & APPLICATIONS (IJSEA),B2,2021-2024
1007-5704,COMMUNICATIONS IN NONLINEAR SCIENCE & NUMERICAL SIMULATION,A1,2021-2024
1010-6049,GEOCARTO INTERNATIONAL,A1,2021-2024
1012-2443,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,A3,2021-2024
1016-8664,STRUCTURAL ENGINEERING INTERNATIONAL (PRINT),A4,2021-2024
1017-0405,STATISTICA SINICA,A2,2021-2024
1017-1398,NUMERICAL ALGORITHMS,A2,2021-2024
1017-9909,JOURNAL OF ELECTRONIC IMAGING,B2,2021-2024
1018-3647,JOURNAL OF KING SAUD UNIVERSITY - SCIENCE,A1,2021-2024
1018-4813,EUROPEAN JOURNAL OF HUMAN GENETICS,A1,2021-2024
1018-4864,TELECOMMUNICATIONS SYSTEMS,A4,2021-2024
1020-4989,REVISTA PANAMERICANA DE SALUD PÚBLICA / PAN AMERICAN JOURNAL OF PUBLIC HEALTH,A1,2021-2024
1021-7762,FOLIA PHONIATRICA ET LOGOPAEDICA,A2,2021-2024
1022-0038,WIRELESS NETWORKS,A2,2021-2024
1024-123X,MATHEMATICAL PROBLEMS IN ENGINEERING (PRINT),C,2021-2024
1025-5842,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,A4,2021-2024
1026-0269,FROGLOG,C,2021-2024
1027-3719,THE INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,A3,2021-2024
1029-0273,ENGINEERING OPTIMIZATION (ONLINE),A1,2021-2024
